cloud,config_replicas,mongos_instances,shard_replicas,shards_per_replica,mongo_version,cluster_deploy_time,ansible_deploy_time
chameleon,1,1,1,1,34,180,187
jetstream,1,1,1,1,34,145,136
chameleon,1,1,1,1,34,178,209
kilo,1,1,3,1,34,385,218
kilo,1,1,1,1,34,238,210
kilo,1,1,1,3,34,393,228
kilo,1,1,2,1,34,321,212
kilo,1,1,1,2,34,339,220
kilo,1,1,4,1,34,444,296
kilo,1,1,1,4,34,405,301
kilo,1,1,5,1,34,516,325
jetstream,1,1,2,1,34,165,160
jetstream,1,1,1,2,34,186,124
chameleon,1,1,2,1,34,233,210
chameleon,1,1,1,2,34,221,194
chameleon,1,1,3,1,34,257,198
chameleon,1,1,1,3,34,256,200
chameleon,1,1,4,1,34,314,237
chameleon,1,1,1,4,34,285,238
chameleon,1,1,5,1,34,324,247
chameleon,1,1,1,5,34,326,242
chameleon,1,1,1,1,32,191,206
chameleon,1,1,2,1,32,222,206
chameleon,1,1,3,1,32,264,186
chameleon,1,1,4,1,32,288,234
chameleon,1,1,5,1,32,383,234
jetstream,1,1,2,1,34,125,168
kilo,1,1,1,5,34,556,277
chameleon,1,1,1,1,34,148,206
jetstream,1,1,3,1,34,185,158
chameleon,1,1,1,1,34,145,192
chameleon,3,2,3,3,32,650,409
jetstream,1,1,1,1,34,115,118
chameleon,1,1,7,1,34,357,283
chameleon,1,1,7,1,32,327,287
chameleon,1,1,1,7,34,327,278
chameleon,1,1,9,1,34,387,339
chameleon,1,1,9,1,32,378,341
kilo,1,1,2,1,34,322,177
kilo,1,1,7,1,34,589,349
jetstream,1,1,1,1,34,136,118
jetstream,1,1,3,1,34,163,117
jetstream,1,1,1,3,34,160,129
jetstream,1,1,3,1,34,165,116
chameleon,1,1,1,1,34,148,186
chameleon,1,1,1,1,34,146,178
chameleon,1,1,1,1,34,144,191
chameleon,1,1,1,1,34,145,190
chameleon,2,2,2,2,32,304,245
chameleon,1,1,1,1,32,143,176
chameleon,1,1,1,1,34,144,182
chameleon,1,1,1,1,34,143,190
chameleon,1,1,1,1,34,148,182
