State,Neg,Neu,Pos
Alabama,133,432,262
Alaska,56,429,128
Arizona,213,496,415
Arkansas,31,86,70
California,1253,3189,2508
Colorado,94,315,255
Connecticut,98,214,192
Delaware,147,457,296
Florida,720,2033,1488
Georgia,290,865,613
Hawaii,52,143,104
Idaho,24,57,31
Illinois,83,200,165
Indiana,473,1177,961
Iowa,61,212,167
Kansas,104,278,225
Kentucky,177,401,345
Louisiana,183,571,374
Maine,1994,6373,4680
Massachusetts,177,428,345
Minnesota,106,284,236
Mississippi,83,245,168
Missouri,127,378,356
Montana,83,179,166
Nebraska,56,152,126
Nevada,106,309,202
New Hampshire,13,45,42
New Jersey,276,763,593
New Mexico,52,106,99
New York,637,1792,1469
North Dakota,7,23,21
Ohio,497,1210,1048
Oklahoma,104,264,245
Oregon,118,336,280
Pennsylvania,382,1156,857
Rhode Island,15,52,40
South Carolina,95,261,203
South Dakota,24,45,42
Tennessee,176,497,357
Texas,1193,3298,2280
Utah,41,117,104
Vermont,18,47,29
Virginia,234,576,425
Washington,214,517,449
West Virginia,80,258,177
Wisconsin,19,56,45
Wyoming,2,12,12
