State,value
Alabama,827
Alaska,613
Arizona,1124
Arkansas,187
California,6950
Colorado,664
Connecticut,504
Delaware,900
Florida,4241
Georgia,1768
Hawaii,299
Idaho,112
Illinois,448
Indiana,2611
Iowa,440
Kansas,607
Kentucky,923
Louisiana,1128
Maine,13047
Massachusetts,950
Minnesota,626
Mississippi,496
Missouri,861
Montana,428
Nebraska,334
Nevada,617
New Hampshire,100
New Jersey,1632
New Mexico,257
New York,3898
North Dakota,51
Ohio,2755
Oklahoma,613
Oregon,734
Pennsylvania,2395
Rhode Island,107
South Carolina,559
South Dakota,111
Tennessee,1030
Texas,6771
Utah,262
Vermont,94
Virginia,1235
Washington,1180
West Virginia,515
Wisconsin,120
Wyoming,26
